,Substrate ,Microorganism,Reactoe/Mode,pH,Temperature °C,Hydrogen yield,Refrence ,Incitatiom,Location,,,
6,Glucose,"Caldicellulosiruptor 
saccharolyticus ",Batch,7,70,3.4 (mol H2/mol glucose),"Okonkwo, O. (2019, December). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). HAL French Open Archive. https://theses.hal.science/tel-03066333","(Okonkwo, 2019)",https://theses.hal.science/tel-03066327,,,
7,Miscanthus hydrolysate,Clostridium thermocellum ,Batch,7,72,2.4 (mol H2/mol glucose),"Okonkwo, O. (2019, December). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). HAL French Open Archive. https://theses.hal.science/tel-03066334","(Okonkwo, 2019)",https://theses.hal.science/tel-03066327,,,
8,Cellulose,"Thermoanaerobacterium 
thermosaccharolyticum ",Batch,6.8,60,1.9 (mol H2/mol glucose),"Okonkwo, O. (2019, December). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). HAL French Open Archive. https://theses.hal.science/tel-03066335","(Okonkwo, 2019)",https://theses.hal.science/tel-03066327,,,
9,Glucose ,"Thermoanaerobacterium 
thermosaccharolyticum ",Batch,6.5,60,2.4 (mol H2/mol glucose),"Okonkwo, O. (2019, December). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). HAL French Open Archive. https://theses.hal.science/tel-03066336","(Okonkwo, 2019)",https://theses.hal.science/tel-03066327,,,
10,Xylose ,Thermotoga neapolitana,Batch,6.5,60,2.6 (mol H2/mol glucose),"Okonkwo, O. (2019, December). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). HAL French Open Archive. https://theses.hal.science/tel-03066337","(Okonkwo, 2019)",https://theses.hal.science/tel-03066327,"Sivagurunathan, P., Kumar, G., Mudhoo, A., Rene, E. R., Saratale, G. D., Kobayashi, T., Xu, K., Kim, S., & Kim, D. (2017). Fermentative hydrogen production using lignocellulose biomass: An overview of pre-treatment methods, inhibitor effects and detoxification experiences. Renewable and Sustainable Energy Reviews, 77, 28–42. https://doi.org/10.1016/j.rser.2017.03.091","(Sivagurunathan et al., 2017)",
11,Xylose ,Thermotoga neapolitana,Batch,7,75,3.4 (mol H2/mol glucose),"Okonkwo, O. (2019, December). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). HAL French Open Archive. https://theses.hal.science/tel-03066338","(Okonkwo, 2019)",https://theses.hal.science/tel-03066327,"Sivagurunathan, P., Kumar, G., Mudhoo, A., Rene, E. R., Saratale, G. D., Kobayashi, T., Xu, K., Kim, S., & Kim, D. (2017). Fermentative hydrogen production using lignocellulose biomass: An overview of pre-treatment methods, inhibitor effects and detoxification experiences. Renewable and Sustainable Energy Reviews, 77, 28–42. https://doi.org/10.1016/j.rser.2017.03.091","(Sivagurunathan et al., 2017)",
12,Glucose ,Thermotoga neapolitana,Batch,7,75,3.5 (mol H2/mol glucose),"Okonkwo, O. (2019, December). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). HAL French Open Archive. https://theses.hal.science/tel-03066339","(Okonkwo, 2019)",https://theses.hal.science/tel-03066327,,,
13,"Carrot pulp 
hydrolysate ",Thermotoga neapolitana,Batch,7,75,2.7 (mol H2/mol glucose),"Okonkwo, O. (2019, December). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). HAL French Open Archive. https://theses.hal.science/tel-03066340","(Okonkwo, 2019)",https://theses.hal.science/tel-03066327,,,
,Cellulose,"C. thermocellum + C. 
Thermopalmarium",Batch,7,55,"1.36(mol H2 
mol-1 glucose 
consumed)","Okonkwo, O. (2019, December). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). HAL French Open Archive. https://theses.hal.science/tel-03066342","(Okonkwo, 2019)",https://theses.hal.science/tel-03066327,,,
,Glucose,"C. saccharolyticus + C. 
kristjanssonii",continious,6.7,70,"3.7(mol H2 
mol-1 glucose 
consumed)","Okonkwo, O. (2019, December). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). HAL French Open Archive. https://theses.hal.science/tel-03066343","(Okonkwo, 2019)",https://theses.hal.science/tel-03066327,,,
,Xylose ,Activated sludge ,continious,5.5,55,"1.2(mol H2 
mol-1 glucose 
consumed)","Okonkwo, O. (2019, December). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). HAL French Open Archive. https://theses.hal.science/tel-03066344","(Okonkwo, 2019)",https://theses.hal.science/tel-03066327,,,
,Glucose,Activated sludge ,continious,NA,35,"1.9(mol H2 
mol-1 glucose 
consumed)","Okonkwo, O. (2019, December). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). HAL French Open Archive. https://theses.hal.science/tel-03066345","(Okonkwo, 2019)",https://theses.hal.science/tel-03066327,,,
,Glucose,Anaerobicgranular sludg,continious,4.5,35,"2.6(mol H2 
mol-1 glucose 
consumed)","Okonkwo, O. (2019, December). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). HAL French Open Archive. https://theses.hal.science/tel-03066346","(Okonkwo, 2019)",https://theses.hal.science/tel-03066327,,,
,Palm oil mill effluent  ,"Palm oil mill wastewater 
treatment plant",Batch,5.5,60,"1.08 (mol H2 
mol-1 glucose 
consumed)","Okonkwo, O. (2019, December). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). HAL French Open Archive. https://theses.hal.science/tel-03066347","(Okonkwo, 2019)",https://theses.hal.science/tel-03066327,,,
,Sucrose,Anaerobic digested sludge,Batch,5.5,60,"1.96 (mol H2 
mol-1 glucose 
consumed)","Okonkwo, O. (2019, December). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). HAL French Open Archive. https://theses.hal.science/tel-03066348","(Okonkwo, 2019)",https://theses.hal.science/tel-03066327,,,
1,Organic Fraction of Municipal Solid Waste,NA,CSTR/Continious,5.2,37,18.2  (L H2 / kg VS_influent),"Martins, I., Surra, E., Ventura, M., & Lapa, N. (2022). BioH2 from Dark Fermentation of OFMSW: Effect of the Hydraulic Retention Time and Organic Loading Rate. Applied Sciences, 12(9), 4240. https://doi.org/10.3390/app12094240","(Martins et al., 2022)",,,,
1,Glucose,"Clostridium
 acetobutylicum",Schott Bottle,7,30,3.14 (L H2 / kg VS_influent),"Ergal, I., Zech, E., Hanišáková, N., Kushkevych, I., Fuchs, W., Vítez, T., Vítezová, M., Bochmann, G., & Rittmann, S. K. R. (2022). Scale-Up of dark fermentative biohydrogen production by artificial microbial Co-Cultures. Applied Microbiology, 2(1), 215–226. https://doi.org/10.3390/applmicrobiol2010015","(Ergal et al., 2022)",https://www.mdpi.com/2673-8007/2/1/15,,,
2,Cassava Wastewater ,"Clostridium
 acetobutylicum",Bioreactor,7,36,2.41 (L H2 / kg VS_influent),"Ergal, I., Zech, E., Hanišáková, N., Kushkevych, I., Fuchs, W., Vítez, T., Vítezová, M., Bochmann, G., & Rittmann, S. K. R. (2022). Scale-Up of dark fermentative biohydrogen production by artificial microbial Co-Cultures. Applied Microbiology, 2(1), 215–226. https://doi.org/10.3390/applmicrobiol2010015","(Ergal et al., 2022)",https://www.mdpi.com/2673-8007/2/1/16,,,
3,Sugarcane molasses,"Clostridium
 acetobutylicum",Fermentor/Batch,6.5,30,1.3 (L H2 / kg VS_influent),"Ergal, I., Zech, E., Hanišáková, N., Kushkevych, I., Fuchs, W., Vítez, T., Vítezová, M., Bochmann, G., & Rittmann, S. K. R. (2022). Scale-Up of dark fermentative biohydrogen production by artificial microbial Co-Cultures. Applied Microbiology, 2(1), 215–226. https://doi.org/10.3390/applmicrobiol2010016","(Ergal et al., 2022)",https://www.mdpi.com/2673-8007/2/1/17,,,
4,Maltose,Enterobacter aerogenes,Erlenmeyer flask / Continuous,6.5,35,2.16 (L H2 / kg VS_influent),"Ergal, I., Zech, E., Hanišáková, N., Kushkevych, I., Fuchs, W., Vítez, T., Vítezová, M., Bochmann, G., & Rittmann, S. K. R. (2022). Scale-Up of dark fermentative biohydrogen production by artificial microbial Co-Cultures. Applied Microbiology, 2(1), 215–226. https://doi.org/10.3390/applmicrobiol2010017","(Ergal et al., 2022)",https://www.mdpi.com/2673-8007/2/1/18,,,
5,Corn starch ,Mixed cultures ,continious,5.5,40,0.92  mol H2/mol glucose,"Baeyens, J., Zhang, H., Nie, J., Appels, L., Dewil, R., Ansart, R., & Deng, Y. (2020b). Reviewing the potential of bio-hydrogen production by fermentation. Renewable and Sustainable Energy Reviews, 131, 110023. https://doi.org/10.1016/j.rser.2020.110023","(Ergal et al., 2022)",https://www.mdpi.com/2673-8007/2/1/19,,,
5,Corn starch ,Mixed cultures ,Batch,5.5,40,1.04  mol H2/mol glucose,"Baeyens, J., Zhang, H., Nie, J., Appels, L., Dewil, R., Ansart, R., & Deng, Y. (2020b). Reviewing the potential of bio-hydrogen production by fermentation. Renewable and Sustainable Energy Reviews, 131, 110023. https://doi.org/10.1016/j.rser.2020.110023","(Ergal et al., 2022)",https://www.mdpi.com/2673-8007/2/1/20,,,
6,Glucose,Enterobacter aerogenes,Bioreactor,6.9,37,1.36(L H2 / kg VS_influent),"Ergal, I., Zech, E., Hanišáková, N., Kushkevych, I., Fuchs, W., Vítez, T., Vítezová, M., Bochmann, G., & Rittmann, S. K. R. (2022). Scale-Up of dark fermentative biohydrogen production by artificial microbial Co-Cultures. Applied Microbiology, 2(1), 215–226. https://doi.org/10.3390/applmicrobiol2010015","(Ergal et al., 2022)",https://www.mdpi.com/2673-8007/2/1/21,,,
7,Glucose,Enterobacter aerogenes,Bioreactor,6.8,30,0.55 (L H2 / kg VS_influent),"Ergal, I., Zech, E., Hanišáková, N., Kushkevych, I., Fuchs, W., Vítez, T., Vítezová, M., Bochmann, G., & Rittmann, S. K. R. (2022). Scale-Up of dark fermentative biohydrogen production by artificial microbial Co-Cultures. Applied Microbiology, 2(1), 215–226. https://doi.org/10.3390/applmicrobiol2010016","(Ergal et al., 2022)",https://www.mdpi.com/2673-8007/2/1/22,,,
8,Corn starch,Enterobacter aerogenes,Bioreactor,6.5,39,1.09 (L H2 / kg VS_influent),"Ergal, I., Zech, E., Hanišáková, N., Kushkevych, I., Fuchs, W., Vítez, T., Vítezová, M., Bochmann, G., & Rittmann, S. K. R. (2022). Scale-Up of dark fermentative biohydrogen production by artificial microbial Co-Cultures. Applied Microbiology, 2(1), 215–226. https://doi.org/10.3390/applmicrobiol2010017","(Ergal et al., 2022)",https://www.mdpi.com/2673-8007/2/1/23,,,
9,Glucose," Clostridium
 acetobutylicumand
 Desulfovibriovulgaris",Bioreactor,6.5,37,3.46 (L H2 / kg VS_influent),"Ergal, I., Zech, E., Hanišáková, N., Kushkevych, I., Fuchs, W., Vítez, T., Vítezová, M., Bochmann, G., & Rittmann, S. K. R. (2022). Scale-Up of dark fermentative biohydrogen production by artificial microbial Co-Cultures. Applied Microbiology, 2(1), 215–226. https://doi.org/10.3390/applmicrobiol2010018","(Ergal et al., 2022)",https://www.mdpi.com/2673-8007/2/1/24,,,
10," sweetpotato
 starch",Clostridium butyricumand Enterobacter aerogenes,CSTR/Continious,5.25,37,2.4 (L H2 / kg VS_influent),"Ergal, I., Zech, E., Hanišáková, N., Kushkevych, I., Fuchs, W., Vítez, T., Vítezová, M., Bochmann, G., & Rittmann, S. K. R. (2022). Scale-Up of dark fermentative biohydrogen production by artificial microbial Co-Cultures. Applied Microbiology, 2(1), 215–226. https://doi.org/10.3390/applmicrobiol2010019","(Ergal et al., 2022)",https://www.mdpi.com/2673-8007/2/1/25,,,
11, starch,Clostridium butyricumand Enterobacter aerogenes,Bioreactor,5.3,30,2.32 (L H2 / kg VS_influent),"Ergal, I., Zech, E., Hanišáková, N., Kushkevych, I., Fuchs, W., Vítez, T., Vítezová, M., Bochmann, G., & Rittmann, S. K. R. (2022). Scale-Up of dark fermentative biohydrogen production by artificial microbial Co-Cultures. Applied Microbiology, 2(1), 215–226. https://doi.org/10.3390/applmicrobiol2010020","(Ergal et al., 2022)",https://www.mdpi.com/2673-8007/2/1/26,,,
12,Glucose,Clostridium butyricumand Enterobacter aerogenes,Bioreactor,5.3,30,2.12 (L H2 / kg VS_influent),"Ergal, I., Zech, E., Hanišáková, N., Kushkevych, I., Fuchs, W., Vítez, T., Vítezová, M., Bochmann, G., & Rittmann, S. K. R. (2022). Scale-Up of dark fermentative biohydrogen production by artificial microbial Co-Cultures. Applied Microbiology, 2(1), 215–226. https://doi.org/10.3390/applmicrobiol2010021","(Ergal et al., 2022)",https://www.mdpi.com/2673-8007/2/1/27,,,
13,Glucose,Klebsiellapneumoniae andCitrobacter freundii,Fermentor/Batch,6.5,37,2.07 (L H2 / kg VS_influent),"Ergal, I., Zech, E., Hanišáková, N., Kushkevych, I., Fuchs, W., Vítez, T., Vítezová, M., Bochmann, G., & Rittmann, S. K. R. (2022). Scale-Up of dark fermentative biohydrogen production by artificial microbial Co-Cultures. Applied Microbiology, 2(1), 215–226. https://doi.org/10.3390/applmicrobiol2010022","(Ergal et al., 2022)",https://www.mdpi.com/2673-8007/2/1/28,,,
14,Glucose," Enterobacter
 aerogenesand
 Clostridium
 acetobutylicum",Fermentor/Batch,6,37,6.18 (L H2 / kg VS_influent),"Ergal, I., Zech, E., Hanišáková, N., Kushkevych, I., Fuchs, W., Vítez, T., Vítezová, M., Bochmann, G., & Rittmann, S. K. R. (2022). Scale-Up of dark fermentative biohydrogen production by artificial microbial Co-Cultures. Applied Microbiology, 2(1), 215–226. https://doi.org/10.3390/applmicrobiol2010023","(Ergal et al., 2022)",https://www.mdpi.com/2673-8007/2/1/29,,,
15,Glucose," Enterobacter
 aerogenesand
 Clostridium
 acetobutylicum",Fermentor/Batch,6.5,37,4.45 (L H2 / kg VS_influent),"Ergal, I., Zech, E., Hanišáková, N., Kushkevych, I., Fuchs, W., Vítez, T., Vítezová, M., Bochmann, G., & Rittmann, S. K. R. (2022). Scale-Up of dark fermentative biohydrogen production by artificial microbial Co-Cultures. Applied Microbiology, 2(1), 215–226. https://doi.org/10.3390/applmicrobiol2010024","(Ergal et al., 2022)",https://www.mdpi.com/2673-8007/2/1/30,,,
1,Cheese whey,,,6,38,162L/kgTOC,"Asunis, F., De Gioannis, G., Isipato, M., Muntoni, A., Polettini, A., Pomi, R., Rossi, A., & Spiga, D. (2019). Control of fermentation duration and pH to orient biochemicals and biofuels production from cheese whey. Bioresource Technology, 289, 121722. https://doi.org/10.1016/j.biortech.2019.121722","(Asunis et al., 2019)",https://sci-hub.se/10.1016/j.biortech.2019.121722,,,
1,Cheese whey,,,6,40,162L/kgTOC,"Tsigkou, K., Sivolapenko, N., & Kornaros, M. (2022). Thermophilic dark fermentation of olive mill wastewater in batch reactors: effect of pH and organic loading. Applied Sciences, 12(6), 2881. https://doi.org/10.3390/app12062882","(Tsigkou et al., 2022)",https://www.mdpi.com/2076-3417/12/6/2881,,,
2," Swinewastewaterpretreated
 withthermophilicbacteria",,,6,36,7.0mLH2/gVSS,"Li, X., Guo, L., Liu, Y., Wang, Y., She, Z., Gao, M., & Zhao, Y. (2020). Effect of salinity and pH on dark fermentation with thermophilic bacteria pretreated swine wastewater. Journal of Environmental Management, 271, 111023. https://doi.org/10.1016/j.jenvman.2020.111023","(Li et al., 2020)",https://sci-hub.se/10.1016/j.jenvman.2020.111023,,,
,Sugarcanevinasse,,,6,37," 4.75mmolH2/g
 CODinfluent","Magrini, F. E., De Almeida, G. M., Da Maia Soares, D., Fuentes, L., Ecthebehere, C., Beal, L. L., Da Silveira, M. M., & Paesi, S. (2020). Effect of different heat treatments of inoculum on the production of hydrogen and volatile fatty acids by dark fermentation of sugarcane vinasse. Biomass Conversion and Biorefinery, 11(6), 2443–2456. https://doi.org/10.1007/s13399-020-00687-0","(Magrini et al., 2020)",file:///C:/Users/Hagar/Downloads/Effect_of_different_heat_treatments_of_i%20(1).pdf ,,,
,Expiredfoodproductsandused disposablenappieshydrolysate,,,6,37,1.33molH2/molglucose,"Zagklis, D., Papadionysiou, M., Tsigkou, K., Tsafrakidou, P., Zafiri, C., & Kornaros, M. (2021). Effect of pH on the Economic Potential of Dark Fermentation Products from Used Disposable Nappies and Expired Food Products. Applied Sciences, 11(9), 4099. https://doi.org/10.3390/app11094099","(Zagklis et al., 2021)",file:///C:/Users/Hagar/Downloads/applsci-11-04099.pdf,,,
,Paddystrawafteracid pretreatment,,,6,50,1.03molH2/molglucose,"Mechery, J., Thomas, D. M., Kumar, C. S. P., Joseph, L., & Sylas, V. P. (2019). Biohydrogen production from acidic and alkaline hydrolysates of paddy straw using locally isolated facultative bacteria through dark fermentation. Biomass Conversion and Biorefinery, 11(4), 1263–1272. https://doi.org/10.1007/s13399-019-00515-0","(Mechery et al., 2019)",file:///C:/Users/Hagar/Downloads/Biohydrogen_production_from_acidic_and_a.pdf,,,
,Olive mill wastewater,,,6,37, 0.642molH2/molglucose,"Dareioti, M. A., Vavouraki, A. I., & Kornaros, M. (2014). Effect of pH on the anaerobic acidogenesis of agroindustrial wastewaters for maximization of bio-hydrogen production: A lab-scale evaluation using batch tests. Bioresource Technology, 162, 218–227. https://doi.org/10.1016/j.biortech.2014.03.149","(Dareioti et al., 2014)",https://sci-hub.se/https://doi.org/10.1016/j.biortech.2014.03.149,,,
,hydrothermal food waste,,,6,55," 10.38mLg 1vs.h 1Gas
 productionrate(","Tsigkou, K., Sivolapenko, N., & Kornaros, M. (2022). Thermophilic dark fermentation of olive mill wastewater in batch reactors: effect of pH and organic loading. Applied Sciences, 12(6), 2881. https://doi.org/10.3390/app12062881","(Tsigkou et al., 2022)",https://www.mdpi.com/2076-3417/12/6/2881,,,
,Food waste,,batch fermentation,6,37,"4.09 L H2 / L Reactor
","Tsigkou, K., Tsafrakidou, P., Athanasopoulou, S., Zafiri, C., & Kornaros, M. (2019b). Effect of pH on the anaerobic fermentation of Fruit/Vegetables and disposable nappies hydrolysate for bio-hydrogen production. Waste and Biomass Valorization, 11(2), 539–551. https://doi.org/10.1007/s12649-019-00854-z","(Tsigkou et al., 2019b)",https://sci-hub.se/10.1007/s12649-019-00854-z,,,
,Olive mill wastewater,,,6,55,0.7molH2/molglucose,"Tsigkou, K., Tsafrakidou, P., Athanasopoulou, S., Zafiri, C., & Kornaros, M. (2019b). Effect of pH on the anaerobic fermentation of Fruit/Vegetables and disposable nappies hydrolysate for bio-hydrogen production. Waste and Biomass Valorization, 11(2), 539–551. https://doi.org/10.1007/s12649-019-00854-z","(Tsigkou et al., 2019b)",https://sci-hub.se/10.1007/s12649-019-00854-z,,,
,Food waste,Heat shock treated anaerobic,"Leaching 
Bed Reactor ",5,37,310 (mL H2/g VS),"Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.045","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Food waste ,"Thermophilic 
acidogenic 
culture ",Batch,4.5,55,46.3 (mL H2/g VS),"Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.046 ...........  Shin, H. S., Youn, J. H., & Kim, S. H. (2004). Hydrogen production from food waste in anaerobic mesophilic and thermophilic acidogenesis. International Journal of Hydrogen Energy, 29(13), 1355–1363. https://doi.org/10.1016/j.ijhydene.2003.09.011","(Ghimire et al., 2015)….........(Shin et al., 2004)",https://sci-hub.se/10.1016/j.ijhydene.2003.09.011,,,
,Vegetable kitchen waste,"Kitchen waste 
compost",CSTR/Continious,6,55,1.7 mmo H2 /G COD,"Lee, Z., Li, S., Kuo, P., Chen, I., Tien, Y., Huang, Y., Chuang, C., Wong, S., & Cheng, S. (2010). Thermophilic bio-energy process study on hydrogen fermentation with vegetable kitchen waste. International Journal of Hydrogen Energy, 35(24), 13458–13466. https://doi.org/10.1016/j.ijhydene.2009.11.126","(Lee et al., 2010)",https://sci-hub.se/10.1016/j.ijhydene.2009.11.126,,,
,Food waste and sewage sludge,"Anaerobic 
digester sludge",Batch,5.5,35,122.9 (mL H2/g VS),"Kim, S. (2004). Feasibility of biohydrogen production by anaerobic co-digestion of food waste and sewage sludge. International Journal of Hydrogen Energy. https://doi.org/10.1016/s0360-3199(04)00098-9","(Kim, 2004)",https://sci-hub.se/10.1016/j.ijhydene.2004.02.018,,,
,OFMSW (organic fraction of municipal solid waste),"Anaerobic 
digestate",Semi continuous CSTR,6.4,55,360 (mL H2/g VS),"Valdezvazquez, I., Riosleal, E., Esparzagarcia, F., Cecchi, F., & Poggivaraldo, H. (2004). Semi-continuous solid substrate anaerobic reactors for H production from organic waste: Mesophilic versus thermophilic regime. International Journal of Hydrogen Energy, 30(13–14), 1383–1391. https://doi.org/10.1016/j.ijhydene.2004.09.016","(Valdezvazquez et al., 2004)",https://sci-hub.se/10.1016/j.ijhydene.2004.09.016,,,
,OFMSW,Non-anaerobic inocula,Packed bed reactor,5.6,38,99 (mL H2/g VS),"Alzate-Gaviria, L. M., Sebastian, P., Pérez-Hernández, A., & Eapen, D. (2007). Comparison of two anaerobic systems for hydrogen production from the organic fraction of municipal solid waste and synthetic wastewater. International Journal of Hydrogen Energy, 32(15), 3141–3146. https://doi.org/10.1016/j.ijhydene.2006.02.034","(Alzate-Gaviria et al., 2007)",https://sci-hub.se/10.1016/j.ijhydene.2006.02.034,,,
,Wheat straw,Cow dung compost,Batch,6.5,36,68.1 (mL H2/g VS),"Fan, Y., Zhang, Y., Zhang, S., Hou, H., & Ren, B. (2005). Efficient conversion of wheat straw wastes into biohydrogen gas by cow dung compost. Bioresource Technology, 97(3), 500–505. https://doi.org/10.1016/j.biortech.2005.02.049","(Fan et al., 2005)",https://sci-hub.se/10.1016/j.biortech.2005.02.049,,,
,Rice straw ,"Wastewater 
treatment plant 
sludge",CSTR/Batch,6.5,55,24.8 ml/TS (mL H2/g VS),"Chen, C., Chuang, Y., Lin, C., Lay, C., & Sen, B. (2012). Thermophilic dark fermentation of untreated rice straw using mixed cultures for hydrogen production. International Journal of Hydrogen Energy, 37(20), 15540–15546. https://doi.org/10.1016/j.ijhydene.2012.01.036","(Chen et al., 2012)",https://sci-hub.se/10.1016/j.ijhydene.2012.01.036,,,
,Corn stalk,Enriched cow dung composts,Batch,6,80,149.69 (mL H2/g VS),"Zhang, M., Fan, Y., Xing, Y., Pan, C., Zhang, G., & Lay, J. (2006). Enhanced biohydrogen production from cornstalk wastes with acidification pretreatment by mixed anaerobic cultures. Biomass and Bioenergy, 31(4), 250–254. https://doi.org/10.1016/j.biombioe.2006.08.004","(Zhang et al., 2006)",https://sci-hub.se/10.1016/j.biombioe.2006.08.004,,,
,Rice slurry ,Anaerobic digester sludge,Batch,4.5,37,346 (mL H2/g VS),"Fang, H., Li, C., & Zhang, T. (2005). Acidophilic biohydrogen production from rice slurry. International Journal of Hydrogen Energy, 31(6), 683–692. https://doi.org/10.1016/j.ijhydene.2005.07.005","(Fang et al., 2005)",https://sci-hub.se/10.1016/j.ijhydene.2005.07.005,,,
,Cheese whey,"Adapted 
anaerobic sludge",Batch,5.5,55,111 (mL H2/g VS),"Kargi, F., Eren, N. S., & Ozmihci, S. (2012). Bio-hydrogen production from cheese whey powder (CWP) solution: Comparison of thermophilic and mesophilic dark fermentations. International Journal of Hydrogen Energy, 37(10), 8338–8342. https://doi.org/10.1016/j.ijhydene.2012.02.162","(Kargi et al., 2012)",https://sci-hub.se/10.1016/j.ijhydene.2012.02.162,,,
,Pig Slurry,Mesophilic methanogenic,CSTR/Batch,6,70,3.65 (mL H2/g VS),"Kotsopoulos, T. A., Fotidis, I. A., Tsolakis, N., & Martzopoulos, G. G. (2009). Biohydrogen production from pig slurry in a CSTR reactor system with mixed cultures under hyper-thermophilic temperature (70 °C). Biomass and Bioenergy, 33(9), 1168–1174. https://doi.org/10.1016/j.biombioe.2009.05.001","(Kotsopoulos et al., 2009)",https://sci-hub.se/10.1016/j.biombioe.2009.05.001,,,
,Algea Cake ,"Anaerobic 
digester sludge",Batch,6,29,66 (mL H2/g VS),"Ghimire, A., Frunzo, L., Pirozzi, F., Trably, E., Escudie, R., Lens, P. N., & Esposito, G. (2015). A review on dark fermentative biohydrogen production from organic biomass: Process parameters and use of by-products. Applied Energy, 144, 73–95. https://doi.org/10.1016/j.apenergy.2015.01.045","(Ghimire et al., 2015)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://hal.science/hal-01164829/document ,,,
,Glucose,Enterobacter cloacae IIT-BT08 ,Batch,6,36,"2.2 (mol H2/mol 
glucose)","Kumar, N., & Das, D. (2000). Enhancement of hydrogen production by Enterobacter cloacae IIT-BT 08. Process Biochemistry, 35(6), 589–593. https://doi.org/10.1016/s0032-9592(99)00109-0","(Kumar & Das, 2000b)",https://sci-hub.se/10.1016/S0032-9592(99)00109-0,,,
,Lactose ,"Thermophilic species
C. thermolacticum ",Continious,7,58,"1.5 (mol H2/mol 
glucose)","Collet, C. (2004). Hydrogen production by Clostridium thermolacticum during continuous fermentation of lactose. International Journal of Hydrogen Energy, 29(14), 1479–1485. https://doi.org/10.1016/j.ijhydene.2004.02.009","(Collet, 2004)",https://sci-hub.se/10.1016/j.ijhydene.2004.02.009,,,
,"Malt, yeast and glucose",Enterobacter cloacae DM 11,Continious,6,37,"3.9 (mol H2/mol 
glucose)","Mandal, B., Nath, K., & Das, D. (2006). Improvement of Biohydrogen Production Under Decreased Partial Pressure of H2 by Enterobacter cloacae. Biotechnology Letters, 28(11), 831–835. https://doi.org/10.1007/s10529-006-9008-8","(Mandal et al., 2006)",https://sci-hub.se/10.1007/s10529-006-9008-8,,,
,Hydrolyzed potato steam peels,"Caldicellulosiruptor 
saccharolyticus DSM 
8903 ",Batch,6.9,70,"3.4 (mol H2/mol 
glucose)","Mars, A. E., Veuskens, T., Budde, M. A., Van Doeveren, P. F., Lips, S. J., Bakker, R. R., De Vrije, T., & Claassen, P. A. (2010). Biohydrogen production from untreated and hydrolyzed potato steam peels by the extreme thermophiles Caldicellulosiruptor saccharolyticus and Thermotoga neapolitana. International Journal of Hydrogen Energy, 35(15), 7730–7737. https://doi.org/10.1016/j.ijhydene.2010.05.063","(Mars et al., 2010)",https://sci-hub.se/10.1016/j.ijhydene.2010.05.063,,,
